105991F3 - 45.2 (4)
B576F9CD - 38.97 (5)
2E2CCA75 - 36.13 (7)
240C0419 - 7.48 (8)
3D5EEF65 - 25.68 (8)
203F5E6B - 73.18 (10)
6D605E07 - 59.15 (10)
08E166A9 - 51.08 (10)
03B29C3D - 91.4 (12)
7BBA24D5 - 45.02 (16)
3B1380F3 - 37.08 (16)
5CC59535 - 35.38 (17)
BA11FAEA - 8.02 (17)
9BA2CC84 - 93.3 (21)
8B597933 - 51.12 (23)
8A3AFE40 - 17.37 (25)
F37878AF - 56.4 (25)
25D9BF05 - 63.72 (26)
9840A710 - 5.0 (26)
C2A0F681 - 84.16 (28)
1FB8D97C - 67.94 (29)
6195F6DE - 32.9 (29)
2428835C - 9.44 (30)
0F516FBC - 92.05 (35)
F5E7254A - 41.71 (37)
95089E7F - 74.13 (37)
836C380B - 62.1 (37)
87F830AC - 16.77 (38)
7FDC51C6 - 59.24 (38)
07BD58A3 - 80.87 (40)
C550DCFC - 100.72 (40)
1432E492 - 50.82 (42)
039FA255 - 1.69 (43)
D4A96B2C - 75.53 (44)
3C0B21B5 - 46.37 (45)
5DF274F5 - 80.18 (46)
ECDC3725 - 1.89 (48)
B6D7DA3A - 62.25 (49)
DC3E95B1 - 83.25 (50)
DF68D764 - 9.46 (51)
84DD5642 - 21.25 (51)
71E1F055 - 41.66 (54)
387185F6 - 3.17 (55)
D4AC6173 - 18.77 (56)
A5899E6F - 41.83 (56)
C8113B24 - 22.23 (59)
153D2D11 - 95.33 (60)
075C4BCE - 95.24 (60)
C5A0ECB9 - 87.21 (61)
A09754BF - 77.24 (62)
CEE87846 - 86.36 (62)
47DE0D27 - 34.02 (63)
11B51CD9 - 35.05 (67)
C2A8AB8B - 38.92 (68)
1CBC6BC3 - 84.34 (69)
C9B2644E - 99.18 (71)
7653B980 - 99.4 (71)
1D333F20 - 70.98 (71)
894366FE - 61.66 (72)
C0940558 - 32.19 (73)
AC073743 - 95.72 (73)
1A848E44 - 31.94 (75)
BB872DBC - 32.26 (75)
7C5CBCE5 - 77.77 (75)
6A2F2891 - 94.64 (77)
6860F653 - 52.92 (79)
32492123 - 56.41 (79)
3D1278C6 - 35.43 (80)
96EFD6B9 - 96.07 (80)
82F0C061 - 26.79 (82)
C65470FD - 14.3 (82)
73348A09 - 33.14 (83)
FAB2E6AA - 5.22 (84)
5C3B0E8D - 67.44 (84)
7BBF4251 - 5.17 (85)
916E3B0C - 54.86 (86)
EFCF5308 - 60.1 (86)
BD0D7AD5 - 13.57 (88)
F636AA01 - 70.47 (90)
51A6CAB7 - 79.32 (91)
7B283044 - 21.98 (91)
3629C9AE - 70.93 (93)
2B9877B4 - 73.97 (94)
D39AFED1 - 43.63 (94)
2AA70031 - 3.62 (94)
35ACAD46 - 24.48 (94)
AC27769E - 69.01 (95)
3F12D3BC - 35.12 (100)
AD3B5D58 - 67.87 (100)
65C251BB - 15.67 (100)
D0E3E980 - 97.38 (102)
E32DFEE5 - 48.27 (104)
